Model,Skill,RMSE,MAE
Prophet,marketing_vanadzor armenia_Sales_Marketing,0.05755906368403147,0.03911500352156917
Prophet,customer service_vanadzor armenia_Sales_Marketing,0.060427198112428686,0.033093437636289386
Prophet,communication_abovyan armenia_Other,0.4902892971894586,0.4026062601924225
Prophet,sales_abovyan armenia_Other,0.4294265391977571,0.23232019798818582
Prophet,management_abovyan armenia_Other,0.2973542222362637,0.21100569936889504
Prophet,accounting_abovyan armenia_Other,0.25232574993204027,0.16294651034224766
Prophet,marketing_abovyan armenia_Other,0.22718425420079444,0.12107190146095627
Prophet,accounting_abovyan armenia_Finance,0.4699058472213892,0.3222201333378533
Prophet,finance_abovyan armenia_Finance,0.45325695882036704,0.3026844152723942
Prophet,communication_abovyan armenia_Finance,0.3726604530597655,0.18454007545132084
Prophet,management_abovyan armenia_Finance,0.20004087095786946,0.0861481905061931
Prophet,project management_abovyan armenia_Finance,0.052379651123112374,0.03634737309753745
Prophet,communication_tbilisi georgia_Other,0.19942292764997477,0.1475004317972262
Prophet,management_tbilisi georgia_Other,0.16679542512932455,0.1390131604936441
Prophet,administration_tbilisi georgia_Other,0.18753498592594656,0.13233521034914017
Prophet,leadership_tbilisi georgia_Other,0.09338994100179897,0.06583900012345847
Prophet,finance_tbilisi georgia_Other,0.13338239857123443,0.11141319055728274
Prophet,communication_gyumri armenia_IT,0.4496156059574586,0.1655496406420291
Prophet,sql_gyumri armenia_IT,0.3922322702763681,0.07692307692307693
Prophet,css_gyumri armenia_IT,0.19611613513818404,0.038461538461538464
Prophet,finance_gyumri armenia_IT,0.21902920326605177,0.09078279285094334
Prophet,html_gyumri armenia_IT,0.19611613513818404,0.038461538461538464
Prophet,communication_other armenia_Other,2.0933184647025462,1.7623303476557295
Prophet,management_other armenia_Other,2.184470764422803,1.8071373531689676
Prophet,administration_other armenia_Other,1.3983505761031911,0.8284370124000209
Prophet,leadership_other armenia_Other,0.6579290253156755,0.4967558795640077
Prophet,finance_other armenia_Other,0.8592369633466009,0.644201288861653
Prophet,communication_tbilisi georgia_Sales_Marketing,0.13065203318322535,0.05567489896264523
Prophet,management_tbilisi georgia_Sales_Marketing,0.13065203318322535,0.05567489896264523
Prophet,marketing_tbilisi georgia_Sales_Marketing,0.13065203318322535,0.05567489896264523
Prophet,accounting_tbilisi georgia_Sales_Marketing,0.0,0.0
Prophet,administration_tbilisi georgia_Sales_Marketing,0.0,0.0
Prophet,communication_vanadzor armenia_Management,0.17777264708693585,0.15590866924003527
Prophet,management_vanadzor armenia_Management,0.17178034249595756,0.15684457597414891
Prophet,customer service_vanadzor armenia_Management,0.13478894581365436,0.12143834338900893
Prophet,finance_vanadzor armenia_Management,0.12344483946852813,0.10849069692153969
Prophet,accounting_vanadzor armenia_Management,0.1111128482965666,0.10042819912943914
Prophet,communication_yerevan armenia_Sales_Marketing,3.853298398924551,3.163621694673906
Prophet,sales_yerevan armenia_Sales_Marketing,3.3601354260790757,2.8163568440048032
Prophet,marketing_yerevan armenia_Sales_Marketing,2.4258926641150884,1.799887857414917
Prophet,management_yerevan armenia_Sales_Marketing,2.0664985252126606,1.773982480555709
Prophet,database_yerevan armenia_Sales_Marketing,1.5793701523413415,1.4798553690911567
Prophet,communication_vanadzor armenia_IT,0.19611613513818404,0.038461538461538464
Prophet,management_vanadzor armenia_IT,0.19611613513818404,0.038461538461538464
Prophet,software development_vanadzor armenia_IT,0.19611613513818404,0.038461538461538464
Prophet,accounting_vanadzor armenia_IT,0.0,0.0
Prophet,administration_vanadzor armenia_IT,0.0,0.0
Prophet,communication_gyumri armenia_Administrative,0.20676410464792563,0.07480262011795943
Prophet,management_gyumri armenia_Administrative,0.19716408693358162,0.06966692871517002
Prophet,accounting_gyumri armenia_Administrative,0.0,0.0
Prophet,administration_gyumri armenia_Administrative,0.0,0.0
Prophet,css_gyumri armenia_Administrative,0.0,0.0
Prophet,communication_gyumri armenia_Management,0.5544328142382506,0.3296474591802985
Prophet,management_gyumri armenia_Management,0.43956604798112997,0.208017034032986
Prophet,leadership_gyumri armenia_Management,0.40834041064029686,0.17430548028709364
Prophet,administration_gyumri armenia_Management,0.4460739326739715,0.1625078535233575
Prophet,customer service_gyumri armenia_Management,0.2979992263821292,0.15845360839918454
Prophet,accounting_other armenia_Finance,1.1279276258119595,0.7406118667131908
Prophet,communication_other armenia_Finance,1.0169086183831344,0.6661526135443633
Prophet,finance_other armenia_Finance,0.8475960887254385,0.516058752218074
Prophet,management_other armenia_Finance,0.5565028029078971,0.333619033450935
Prophet,administration_other armenia_Finance,0.27380310025315663,0.1748463945982714
LSTM,accounting_gyumri armenia_Finance,0.0,0.0
LSTM,communication_gyumri armenia_Finance,0.0,0.0
LSTM,finance_gyumri armenia_Finance,0.0,0.0
LSTM,administration_gyumri armenia_Finance,0.0,0.0
LSTM,css_gyumri armenia_Finance,0.0,0.0
LSTM,communication_other armenia_IT,0.5194975179302703,0.5112322236482914
LSTM,management_other armenia_IT,0.3766898246338425,0.2338222672159855
LSTM,marketing_other armenia_IT,0.3591498054100921,0.3352987886621402
LSTM,software development_other armenia_IT,0.19861664033241425,0.055238042098398395
LSTM,java_other armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,administration_abovyan armenia_IT,0.2773500981126146,0.07692307692307693
LSTM,database_abovyan armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,javascript_abovyan armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,communication_abovyan armenia_IT,0.19611613513818404,0.038461538461538464
LSTM,css_abovyan armenia_IT,0.0,0.0
LSTM,sales_gyumri armenia_Sales_Marketing,0.3722527752778617,0.36675572051451755
LSTM,communication_gyumri armenia_Sales_Marketing,0.32641539605136505,0.31493279337882996
LSTM,marketing_gyumri armenia_Sales_Marketing,0.0,0.0
LSTM,management_gyumri armenia_Sales_Marketing,0.19611613513818404,0.038461538461538464
LSTM,customer service_gyumri armenia_Sales_Marketing,0.0,0.0
LSTM,communication_vanadzor armenia_Other,0.5218457475491194,0.4059117069611183
LSTM,management_vanadzor armenia_Other,0.28807229111416244,0.25382457358332783
LSTM,administration_vanadzor armenia_Other,0.05918906265013516,0.0338183927994508
LSTM,accounting_vanadzor armenia_Other,0.2770935335019022,0.09438999376904506
LSTM,finance_vanadzor armenia_Other,0.19611613513818404,0.038461538461538464
LSTM,accounting_yerevan armenia_Finance,3.3521403936448926,2.7065076644604025
LSTM,finance_yerevan armenia_Finance,3.1912515803174037,2.5436207331143894
LSTM,management_yerevan armenia_Finance,2.5061755367447947,2.2186909914016724
LSTM,communication_yerevan armenia_Finance,2.6739910898902535,2.048724885170276
LSTM,administration_yerevan armenia_Finance,0.9819609308499221,0.8069136005181533
LSTM,communication_other armenia_Administrative,0.9126404712539281,0.5886564885194485
LSTM,administration_other armenia_Administrative,0.4278783688415948,0.1854041373500457
LSTM,management_other armenia_Administrative,0.37708235215718383,0.18318845983594656
LSTM,accounting_other armenia_Administrative,0.19383283605704343,0.08747807961816971
LSTM,database_other armenia_Administrative,0.0692072695940922,0.06528491713106632
LSTM,communication_yerevan armenia_Management,4.71554207366117,3.3691586347726674
LSTM,management_yerevan armenia_Management,5.232999778703133,4.031659162961519
LSTM,sales_yerevan armenia_Management,3.77266476616105,2.7177461294027476
LSTM,marketing_yerevan armenia_Management,3.888091741273348,2.9874474635491004
LSTM,leadership_yerevan armenia_Management,2.7796342613571605,2.1790948647719164
LSTM,communication_yerevan armenia_Other,9.201174159054561,6.310946537898137
LSTM,management_yerevan armenia_Other,6.233500932608684,4.25203932248629
LSTM,finance_yerevan armenia_Other,3.1458951146701044,2.373779590313251
LSTM,administration_yerevan armenia_Other,3.189024284606263,2.52258772116441
LSTM,database_yerevan armenia_Other,3.2033580144102696,2.481381948177631
LSTM,communication_vanadzor armenia_Administrative,0.0,0.0
LSTM,finance_vanadzor armenia_Administrative,0.0,0.0
LSTM,accounting_vanadzor armenia_Administrative,0.0,0.0
LSTM,administration_vanadzor armenia_Administrative,0.0,0.0
LSTM,management_vanadzor armenia_Administrative,0.0,0.0
LSTM,accounting_tbilisi georgia_Finance,0.0,0.0
LSTM,administration_tbilisi georgia_Finance,0.0,0.0
LSTM,communication_tbilisi georgia_Finance,0.0,0.0
LSTM,finance_tbilisi georgia_Finance,0.0,0.0
LSTM,css_tbilisi georgia_Finance,0.0,0.0
LSTM,database_abovyan armenia_Administrative,0.19611613513818404,0.038461538461538464
LSTM,management_abovyan armenia_Administrative,0.0,0.0
LSTM,communication_abovyan armenia_Administrative,0.0,0.0
LSTM,sales_abovyan armenia_Administrative,0.19611613513818404,0.038461538461538464
LSTM,accounting_abovyan armenia_Administrative,0.0,0.0
LSTM,communication_gyumri armenia_Other,0.9449918774175307,0.64100886709415
LSTM,management_gyumri armenia_Other,0.713966680469418,0.40158535518611854
LSTM,finance_gyumri armenia_Other,1.0,0.23076923076923078
LSTM,accounting_gyumri armenia_Other,1.0,0.23076923076923078
LSTM,administration_gyumri armenia_Other,0.2753269163767394,0.07833645936961357
LSTM,database_tbilisi georgia_IT,0.0,0.0
LSTM,html_tbilisi georgia_IT,0.0,0.0
LSTM,javascript_tbilisi georgia_IT,0.0,0.0
LSTM,software development_tbilisi georgia_IT,0.0,0.0
LSTM,sql_tbilisi georgia_IT,0.0,0.0
LSTM,communication_tbilisi georgia_Management,0.19611613513818404,0.038461538461538464
